Sr No.,"Date of
Encashment",Name of the Political Party,"Account no. of
Political Party",Prefix,"Bond
Number",Denominations,"Pay Branch
Code",Pay Teller
26,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10452,"10,00,000",00800,2770121
27,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,160,"10,00,000",00800,2770121
28,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10408,"10,00,000",00800,2770121
29,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,120,"10,00,000",00800,2770121
30,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10464,"10,00,000",00800,2770121
31,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,124,"10,00,000",00800,2770121
32,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10440,"10,00,000",00800,2770121
33,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10469,"10,00,000",00800,2770121
34,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,6646,"1,00,00,000",00847,3367975
35,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,6644,"1,00,00,000",00847,3367975
36,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5470,"1,00,00,000",00847,3367975
37,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5455,"1,00,00,000",00847,3367975
38,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5467,"1,00,00,000",00847,3367975
39,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5460,"1,00,00,000",00847,3367975
40,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5463,"1,00,00,000",00847,3367975
41,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5451,"1,00,00,000",00847,3367975
42,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5458,"1,00,00,000",00847,3367975
43,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5454,"1,00,00,000",00847,3367975
44,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5474,"1,00,00,000",00847,3367975
45,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5459,"1,00,00,000",00847,3367975
46,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5475,"1,00,00,000",00847,3367975
47,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5464,"1,00,00,000",00847,3367975
48,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5453,"1,00,00,000",00847,3367975
49,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5472,"1,00,00,000",00847,3367975
50,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5471,"1,00,00,000",00847,3367975
51,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5468,"1,00,00,000",00847,3367975
52,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5450,"1,00,00,000",00847,3367975
53,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5462,"1,00,00,000",00847,3367975
54,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5457,"1,00,00,000",00847,3367975
55,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5466,"1,00,00,000",00847,3367975
56,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10876,"10,00,000",00847,3367975
57,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10877,"10,00,000",00847,3367975
58,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10885,"10,00,000",00847,3367975
59,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10856,"10,00,000",00847,3367975
60,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10870,"10,00,000",00847,3367975
61,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4274,"1,00,00,000",00691,3627829
62,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4276,"1,00,00,000",00691,3627829
63,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5827,"1,00,00,000",00691,3627829
64,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5847,"1,00,00,000",00691,3627829
65,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4303,"1,00,00,000",00691,3627829
66,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4301,"1,00,00,000",00691,3627829
67,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5831,"1,00,00,000",00691,3627829
68,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4321,"1,00,00,000",00691,3627829
69,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5861,"1,00,00,000",00691,3627829
70,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4325,"1,00,00,000",00691,3627829
71,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5843,"1,00,00,000",00691,3627829
72,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5837,"1,00,00,000",00691,3627829
73,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5817,"1,00,00,000",00691,3627829
74,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4319,"1,00,00,000",00691,3627829
75,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4293,"1,00,00,000",00691,3627829
76,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4305,"1,00,00,000",00691,3627829
77,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5801,"1,00,00,000",00691,3627829
78,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5825,"1,00,00,000",00691,3627829
79,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4313,"1,00,00,000",00691,3627829
80,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5805,"1,00,00,000",00691,3627829
81,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5829,"1,00,00,000",00691,3627829
82,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5821,"1,00,00,000",00691,3627829
83,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5839,"1,00,00,000",00691,3627829
84,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5841,"1,00,00,000",00691,3627829
85,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5813,"1,00,00,000",00691,3627829
86,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5833,"1,00,00,000",00691,3627829
87,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4327,"1,00,00,000",00691,3627829
88,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4311,"1,00,00,000",00691,3627829
89,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4347,"1,00,00,000",00691,3627829
90,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4317,"1,00,00,000",00691,3627829
91,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5809,"1,00,00,000",00691,3627829
92,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5855,"1,00,00,000",00691,3627829
93,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4333,"1,00,00,000",00691,3627829
94,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4335,"1,00,00,000",00691,3627829
95,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4337,"1,00,00,000",00691,3627829
96,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4343,"1,00,00,000",00691,3627829
97,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4295,"1,00,00,000",00691,3627829
98,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4331,"1,00,00,000",00691,3627829
99,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5819,"1,00,00,000",00691,3627829
100,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5853,"1,00,00,000",00691,3627829
101,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5857,"1,00,00,000",00691,3627829
102,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4349,"1,00,00,000",00691,3627829
103,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5803,"1,00,00,000",00691,3627829
104,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5849,"1,00,00,000",00691,3627829
105,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4299,"1,00,00,000",00691,3627829
106,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4329,"1,00,00,000",00691,3627829
107,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4315,"1,00,00,000",00691,3627829
108,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4339,"1,00,00,000",00691,3627829
109,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5835,"1,00,00,000",00691,3627829
110,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5807,"1,00,00,000",00691,3627829
111,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5811,"1,00,00,000",00691,3627829
112,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4309,"1,00,00,000",00691,3627829
113,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4341,"1,00,00,000",00691,3627829
114,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5815,"1,00,00,000",00691,3627829
115,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4345,"1,00,00,000",00691,3627829
116,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5851,"1,00,00,000",00691,3627829
117,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4297,"1,00,00,000",00691,3627829
118,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5845,"1,00,00,000",00691,3627829
119,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4307,"1,00,00,000",00691,3627829
120,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4323,"1,00,00,000",00691,3627829
121,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5859,"1,00,00,000",00691,3627829
122,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5823,"1,00,00,000",00691,3627829
123,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5856,"1,00,00,000",00691,3627829
124,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5868,"1,00,00,000",00691,3627829
125,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5870,"1,00,00,000",00691,3627829
126,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5846,"1,00,00,000",00691,3627829
127,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5866,"1,00,00,000",00691,3627829
128,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5848,"1,00,00,000",00691,3627829
129,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5852,"1,00,00,000",00691,3627829
130,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5874,"1,00,00,000",00691,3627829
131,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5872,"1,00,00,000",00691,3627829
132,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5850,"1,00,00,000",00691,3627829
133,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5858,"1,00,00,000",00691,3627829
134,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5864,"1,00,00,000",00691,3627829
135,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5862,"1,00,00,000",00691,3627829
136,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5860,"1,00,00,000",00691,3627829
137,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5854,"1,00,00,000",00691,3627829
138,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5818,"1,00,00,000",00691,3627829
139,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5840,"1,00,00,000",00691,3627829
140,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5844,"1,00,00,000",00691,3627829
141,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5836,"1,00,00,000",00691,3627829
142,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5820,"1,00,00,000",00691,3627829
143,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5828,"1,00,00,000",00691,3627829
144,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5832,"1,00,00,000",00691,3627829
145,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5842,"1,00,00,000",00691,3627829
146,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5830,"1,00,00,000",00691,3627829
147,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5834,"1,00,00,000",00691,3627829
148,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5824,"1,00,00,000",00691,3627829
149,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5822,"1,00,00,000",00691,3627829
150,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5826,"1,00,00,000",00691,3627829
151,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5838,"1,00,00,000",00691,3627829
152,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5802,"1,00,00,000",00691,3627829
153,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4342,"1,00,00,000",00691,3627829
154,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4334,"1,00,00,000",00691,3627829
155,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5804,"1,00,00,000",00691,3627829
156,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4340,"1,00,00,000",00691,3627829
157,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4348,"1,00,00,000",00691,3627829
158,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4346,"1,00,00,000",00691,3627829
159,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4330,"1,00,00,000",00691,3627829
160,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4344,"1,00,00,000",00691,3627829
161,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4338,"1,00,00,000",00691,3627829
162,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4332,"1,00,00,000",00691,3627829
163,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4336,"1,00,00,000",00691,3627829
164,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5806,"1,00,00,000",00691,3627829
165,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4350,"1,00,00,000",00691,3627829
166,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6603,"1,00,00,000",00691,3627829
167,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5886,"1,00,00,000",00691,3627829
168,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5896,"1,00,00,000",00691,3627829
169,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5890,"1,00,00,000",00691,3627829
170,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5888,"1,00,00,000",00691,3627829
171,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6609,"1,00,00,000",00691,3627829
172,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5882,"1,00,00,000",00691,3627829
173,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6607,"1,00,00,000",00691,3627829
174,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6611,"1,00,00,000",00691,3627829
175,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5892,"1,00,00,000",00691,3627829
176,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5894,"1,00,00,000",00691,3627829
177,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6605,"1,00,00,000",00691,3627829
178,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5885,"1,00,00,000",00691,3627829
179,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5871,"1,00,00,000",00691,3300196
180,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5875,"1,00,00,000",00691,3627829
181,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5873,"1,00,00,000",00691,3627829
182,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,2588,"1,00,00,000",00691,3300196
183,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,2793,"1,00,00,000",00691,3300196
184,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,2810,"1,00,00,000",00691,3300196
185,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4488,"1,00,00,000",00691,3300196
186,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5148,"1,00,00,000",00691,3300196
187,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4432,"1,00,00,000",00691,3300196
188,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5173,"1,00,00,000",00691,3300196
189,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5107,"1,00,00,000",00691,3300196
190,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5101,"1,00,00,000",00691,3300196
191,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5211,"1,00,00,000",00691,3300196
192,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5102,"1,00,00,000",00691,3300196
193,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5130,"1,00,00,000",00691,3300196
194,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5149,"1,00,00,000",00691,3300196
195,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5216,"1,00,00,000",00691,3300196
196,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5213,"1,00,00,000",00691,3300196
197,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5151,"1,00,00,000",00691,3300196
198,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5215,"1,00,00,000",00691,3300196
199,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5214,"1,00,00,000",00691,3300196
200,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5103,"1,00,00,000",00691,3300196
201,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5128,"1,00,00,000",00691,3300196
202,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5105,"1,00,00,000",00691,3300196
203,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5212,"1,00,00,000",00691,3300196
204,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5126,"1,00,00,000",00691,3300196
205,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5150,"1,00,00,000",00691,3300196
206,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5142,"1,00,00,000",00691,3300196
207,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5127,"1,00,00,000",00691,3300196
208,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5144,"1,00,00,000",00691,3300196
209,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5106,"1,00,00,000",00691,3300196
210,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5123,"1,00,00,000",00691,3300196
211,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5146,"1,00,00,000",00691,3300196
212,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5147,"1,00,00,000",00691,3300196
213,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5108,"1,00,00,000",00691,3300196
214,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5124,"1,00,00,000",00691,3300196
215,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5121,"1,00,00,000",00691,3300196
216,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5143,"1,00,00,000",00691,3300196
217,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5145,"1,00,00,000",00691,3300196
218,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5109,"1,00,00,000",00691,3300196
219,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5129,"1,00,00,000",00691,3300196
220,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5104,"1,00,00,000",00691,3300196
221,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5192,"1,00,00,000",00691,3627829
222,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4433,"1,00,00,000",00691,3300196
223,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5110,"1,00,00,000",00691,3300196
224,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5122,"1,00,00,000",00691,3300196
225,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5125,"1,00,00,000",00691,3300196
226,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,740,"1,00,00,000",00691,3300196
227,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,742,"1,00,00,000",00691,3300196
228,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,744,"1,00,00,000",00691,3300196
229,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6217,"1,00,00,000",00691,3300196
230,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6221,"1,00,00,000",00691,3300196
231,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6233,"1,00,00,000",00691,3300196
232,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6241,"1,00,00,000",00691,3300196
233,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6247,"1,00,00,000",00691,3300196
234,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6214,"1,00,00,000",00691,3300196
235,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6238,"1,00,00,000",00691,3300196
236,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4592,"1,00,00,000",00691,3300196
237,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6203,"1,00,00,000",00691,3300196
238,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6231,"1,00,00,000",00691,3300196
239,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6227,"1,00,00,000",00691,3300196
240,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4574,"1,00,00,000",00691,3300196
241,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6207,"1,00,00,000",00691,3300196
242,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6211,"1,00,00,000",00691,3300196
243,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6243,"1,00,00,000",00691,3300196
244,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6225,"1,00,00,000",00691,3300196
245,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6245,"1,00,00,000",00691,3300196
246,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6230,"1,00,00,000",00691,3300196
